control_id,family,title,phase,priority,release_profiles,owner_role,current_status,classification
RAG-04,RAG,Deletion propagation,3-6,P1,C,Privacy/knowledge owner,IMPLEMENTATION_PENDING,AUTO_APPROVED
SDLC-01,SDLC,Protected branches and required review,0-6,P0,A/B/C,Engineering owner,EVIDENCE_PENDING,AUTO_APPROVED
SDLC-02,SDLC,CODEOWNERS and sensitive-path review,0-6,P1,A/B/C,Engineering/governance owner,EVIDENCE_PENDING,AUTO_APPROVED
SDLC-03,SDLC,Secret scanning and push protection,0-6,P0,A/B/C,Security owner,EVIDENCE_PENDING,AUTO_APPROVED
SDLC-04,SDLC,Dependency and code scanning,3-6,P1,B/C,Engineering owner,IMPLEMENTATION_PENDING,AUTO_APPROVED
SDLC-05,SDLC,Least-privilege workflow permissions,3-6,P0,B/C,Engineering owner,IMPLEMENTATION_PENDING,AUTO_APPROVED
SDLC-06,SDLC,OIDC deployment identity,3-6,P1,B/C,Architecture owner,PENDING_REVIEW,PENDING_REVIEW
SUP-01,SUP,Supplier due diligence,0.5-6,P0,A/B/C,Supplier/privacy owner,IMPLEMENTATION_PENDING,AUTO_APPROVED
SUP-02,SUP,DPA and transfer assessment,0.5-6,P0,B/C,Privacy/legal owner,IMPLEMENTATION_PENDING,AUTO_APPROVED
SUP-03,SUP,Provider change monitoring,5-6,P1,A/B/C,Supplier owner,IMPLEMENTATION_PENDING,AUTO_APPROVED
SUP-04,SUP,Supplier access control,3-6,P1,B/C,Operations owner,IMPLEMENTATION_PENDING,AUTO_APPROVED
LOG-01,LOG,Metadata-first logging,3-6,P0,B/C,Privacy/security owner,PENDING_REVIEW,PENDING_REVIEW
LOG-02,LOG,Centralized security logs,3-6,P1,B/C,Security owner,IMPLEMENTATION_PENDING,AUTO_APPROVED
LOG-03,LOG,Alerting and escalation,3-6,P1,B/C,Security/operations owner,IMPLEMENTATION_PENDING,AUTO_APPROVED
LOG-04,LOG,Log retention and access,3-6,P1,B/C,Privacy/security owner,PENDING_REVIEW,PENDING_REVIEW
IR-01,IR,Incident response plan,0-6,P0,A/B/C,Incident owner,IMPLEMENTATION_PENDING,AUTO_APPROVED
IR-02,IR,Personal-data breach decision tree,0-6,P0,A/B/C,Privacy/legal owner,IMPLEMENTATION_PENDING,AUTO_APPROVED
IR-03,IR,Credential/session rotation runbooks,3-6,P0,B/C,Security owner,IMPLEMENTATION_PENDING,AUTO_APPROVED
IR-04,IR,Tabletop exercises,4-6,P1,B/C,Incident owner,IMPLEMENTATION_PENDING,AUTO_APPROVED
BCM-01,BCM,Backup policy,3-6,P1,B/C,Operations owner,IMPLEMENTATION_PENDING,AUTO_APPROVED
BCM-02,BCM,Restore testing,4-6,P0,C,Operations owner,IMPLEMENTATION_PENDING,AUTO_APPROVED
BCM-03,BCM,Provider outage continuity,3-6,P1,B/C,Operations owner,IMPLEMENTATION_PENDING,AUTO_APPROVED
BCM-04,BCM,Recovery objectives,4-6,P2,C,Operations owner,PENDING_REVIEW,PENDING_REVIEW
WIX-01,WIX,Public-plane limitation,0-6,P0,A/B/C,Website/architecture owner,APPROVED_CONTROL,APPROVED
WIX-02,WIX,Collaborator and form access,1-6,P0,A/B/C,Website owner,EVIDENCE_PENDING,AUTO_APPROVED
WIX-03,WIX,No confidential public upload,1,P0,A/B/C,Website/privacy owner,CANONICAL_CONTROL,CANONICAL
GIT-01,GIT,Repository data boundary,0-6,P0,A/B/C,Governance/security owner,CANONICAL_CONTROL,CANONICAL
GIT-02,GIT,Canonical governance source,0-6,P0,A/B/C,Governance owner,CANONICAL_CONTROL,CANONICAL
GIT-03,GIT,Artifact provenance,3-6,P1,B/C,Engineering owner,IMPLEMENTATION_PENDING,AUTO_APPROVED
GIT-04,GIT,Security policy and reporting,1-6,P2,A/B/C,Security owner,IMPLEMENTATION_PENDING,AUTO_APPROVED
AZR-01,AZR,Secure runtime candidate,3-4,P1,B/C,Architecture owner,PENDING_REVIEW,PENDING_REVIEW
AZR-02,AZR,Managed identity and Key Vault,3-4,P0,B/C,Cloud owner,IMPLEMENTATION_PENDING,AUTO_APPROVED
AZR-03,AZR,WAF/API gateway boundary,3-4,P0,B/C,Cloud owner,PENDING_REVIEW,PENDING_REVIEW
AZR-04,AZR,Private networking and diagnostics,3-4,P0,C,Cloud owner,IMPLEMENTATION_PENDING,AUTO_APPROVED
DB-01,DB,Private database exposure,3-4,P0,B/C,Database owner,IMPLEMENTATION_PENDING,AUTO_APPROVED
DB-02,DB,Least-privilege database roles,3-4,P0,B/C,Database owner,IMPLEMENTATION_PENDING,AUTO_APPROVED
DB-03,DB,Parameterized queries and audit,3-4,P0,B/C,Engineering/database owner,IMPLEMENTATION_PENDING,AUTO_APPROVED
REL-01,REL,Exact release-candidate binding,0-6,P0,A/B/C,Release owner,DESIGN_BASELINE,APPROVED
REL-02,REL,Fail-closed promotion,0-6,P0,A/B/C,Release owner,DESIGN_BASELINE,APPROVED
TRU-01,TRU,Claims evidence gate,1-6,P0,A/B/C,Claims owner,APPROVED_CONTROL,APPROVED
TRU-02,TRU,Prohibited absolute claims,1-6,P0,A/B/C,Claims owner,APPROVED_CONTROL,APPROVED
