task_id,window,priority,workstream,task,owner_role,dependency,status,evidence,classification
SEC-0014,0-30 days,P0,Trust content,"Implement approved security/privacy/AI transparency copy and prohibited-claims checks in the Trust, Legal, forms, Pricing and Managed Secure drafts.",Claims/website owner,SEC-0003,CONTENT_PREPARED,Bokmål/English copy pack and claims register,APPROVED
SEC-0015,0-30 days,P0,Incident response,"Create incident severity model, contact tree, evidence procedure, breach decision tree, notification templates and after-action template.",Incident/privacy owner,SEC-0004,PLANNED,Approved incident pack,AUTO_APPROVED
SEC-0016,0-30 days,P1,Business continuity,"Create backup, restore, provider outage and recovery-objective policies for current and planned systems.",Operations owner,SEC-0004,PLANNED,Policies and test schedule,PENDING_REVIEW
SEC-0017,0-30 days,P1,Customer identity,"Compare Entra External ID, Wix Members and alternatives; approve the CIAM architecture for the exact launch scope.",Architecture owner,SEC-0009,PENDING_REVIEW,"CIAM ADR, cost/feature/security assessment",PENDING_REVIEW
SEC-0018,0-30 days,P1,Secure runtime,"Approve or reject Azure as the secure runtime and define region, network, identity, logging and cost boundary.",Architecture owner,SEC-0012,PENDING_REVIEW,Cloud ADR and cost/security review,PENDING_REVIEW
SEC-0019,31-90 days,P0,Secure runtime,"Implement server-side API gateway/proxy, managed identity, Key Vault, rate/cost limits and no-frontend-key controls in a non-public test environment.",Cloud/engineering owner,"SEC-0017,SEC-0018",BLOCKED_DECISION,Test deployment and negative-path results,PENDING_REVIEW
SEC-0020,31-90 days,P0,Authorization,"Implement tenant/object authorization and run cross-tenant, wrong-role and revocation tests.",Engineering owner,SEC-0019,BLOCKED,Authorization test report,AUTO_APPROVED
SEC-0021,31-90 days,P0,AI security,"Implement provider register, prompt-injection controls, tool/egress allowlists, structured-output validation and provider kill switches.",AI security owner,SEC-0019,BLOCKED,AI security test report,AUTO_APPROVED
SEC-0022,31-90 days,P0,Secure intake,"Implement invitation-based confidential intake with quarantine, malware scanning, provenance and retention controls.",Security/engineering owner,SEC-0019,BLOCKED,Upload pipeline and malware test,AUTO_APPROVED
SEC-0023,31-90 days,P0,Logging,"Implement metadata-first centralized logging, alerts and restricted access; prohibit raw prompt/file logs by default pending approval.",Security/privacy owner,SEC-0019,BLOCKED,"Logging standard, samples and alert tests",PENDING_REVIEW
SEC-0024,31-90 days,P0,Deletion,"Implement deletion propagation across primary stores, indexes, caches and backup expiry, and test DSAR deletion.",Privacy/engineering owner,"SEC-0019,SEC-0010",BLOCKED,Deletion test report,AUTO_APPROVED
SEC-0025,31-90 days,P1,CI/CD,"Implement OIDC/managed-identity deployment, protected environments and signed/provenance-aware release records.",Engineering owner,SEC-0018,BLOCKED_DECISION,OIDC deployment and release manifest,PENDING_REVIEW
SEC-0026,3-6 months,P0,Managed Secure pilot,"Run one named pilot journey with identity, private storage, secure intake, audit, revocation, deletion, incident and restore evidence.",Managed Secure owner,SEC-0019 through SEC-0025,BLOCKED,Pilot acceptance pack,PENDING_REVIEW
SEC-0027,3-6 months,P0,Exercises,"Complete incident tabletop, provider-revocation exercise and backup/restore test.",Incident/operations owner,"SEC-0015,SEC-0016,SEC-0019",BLOCKED,Exercise minutes and restore evidence,AUTO_APPROVED
SEC-0028,3-6 months,P0,Acceptance,"Run the complete security/privacy release gate suite for member, checkout, AI routing and Managed Secure profiles.",Validation owner,"SEC-0026,SEC-0027",BLOCKED,Gate matrix and signed results,CANONICAL
SEC-0029,6-12 months,P2,Assurance,Assess ISO/IEC 27001 business case after stable operations and customer due-diligence demand; do not claim certification before award.,Project/security owner,Stable MVP operations,PENDING_REVIEW,Certification business case,PENDING_REVIEW
SEC-0030,Recurring,P1,Review,"Quarterly provider, access, claim, vulnerability, incident, retention and roadmap review with register updates.",Governance owner,Owners appointed,PLANNED,Quarterly review pack,AUTO_APPROVED
