Page,Version,Gamma ID,Card #,Section ID,Card title/purpose,Score /100,Hard gates,Disposition,Review note
Resources,v2,g_fwaj3xz5yq9oryg,2,v103m8t912p229b,Define need,90,,KEEP,Strong page-contract content.
Resources,v2,g_fwaj3xz5yq9oryg,3,a720kpajyustqci,Choose solution,72,C2,KEEP_WITH_EDITS,Plans remain proposed.
Resources,v2,g_fwaj3xz5yq9oryg,4,zndrpvt22pvo05x,Responsible use,92,,KEEP,Strong safety guidance.
Resources,v2,g_fwaj3xz5yq9oryg,5,xutbjzznksmb9xg,Price and use,45,"C2,C3",REWRITE_FUTURE_STATE,Usage enforcement and commercial claims unresolved.
Resources,v2,g_fwaj3xz5yq9oryg,6,fz0t21rkzwuejio,Provider guides,70,C5,KEEP_WITH_EDITS,Validate current features and rights.
Resources,v2,g_fwaj3xz5yq9oryg,7,0teztijch7tidcj,Trust and templates,60,"C3,C4",KEEP_WITH_EDITS,Do not imply unpublished templates/documents exist.
Resources,v2,g_fwaj3xz5yq9oryg,8,6e1005bflekqwxl,Publication rule and CTA,86,,KEEP,Strong governance rule.
Onboarding,v1,g_t46ugbfiriun5z9,1,fh70dv7kp3pw2ko,Hero,90,,KEEP,Clear low-risk qualification.
Onboarding,v1,g_t46ugbfiriun5z9,2,p3mpzbgb8o4k7u4,Four routes,88,,KEEP,Strong route structure.
Onboarding,v1,g_t46ugbfiriun5z9,3,vgl060gdhy0wfev,Business intake,90,,KEEP,Good minimised fields.
Onboarding,v1,g_t46ugbfiriun5z9,4,kebd02ediccqhzz,Student intake,75,C2,KEEP_WITH_EDITS,Plan interest only.
Onboarding,v1,g_t46ugbfiriun5z9,5,pnses03lpy7o5sp,Consumer intake,72,C2,KEEP_WITH_EDITS,Plan and family terms proposed.
Onboarding,v1,g_t46ugbfiriun5z9,6,bggflmrq6k70or7,Architecture review,88,,KEEP,Strong no-file controlled escalation.
Onboarding,v1,g_t46ugbfiriun5z9,7,um64b1s30osyyzq,Privacy message,92,,KEEP,Strong prohibited-data list.
Onboarding,v1,g_t46ugbfiriun5z9,8,s7qirpks1empti7,Status after submission,62,C3,REWRITE_FUTURE_STATE,Statuses/process must be implemented before claim.
Onboarding,v2,g_2qfyyxeeem6qqjz,1,gjgzuacc542149t,Hero,90,,KEEP,Strong minimised qualification.
Onboarding,v2,g_2qfyyxeeem6qqjz,2,4524krkw6ci4hrx,Four-step process,68,C3,KEEP_WITH_EDITS,Remove under-two-minute claim.
Onboarding,v2,g_2qfyyxeeem6qqjz,3,ron5e9l8w1mk230,Audience selection,88,,KEEP,Clear routing choices.
Onboarding,v2,g_2qfyyxeeem6qqjz,4,9h69rnb5ere9hb1,Need and data class,90,,KEEP,Strong high-level classification.
Onboarding,v2,g_2qfyyxeeem6qqjz,5,cxqp0l1q60bqf3d,Next step,72,"C2,C3",KEEP_WITH_EDITS,Manual recommendation and plan interest only.
Onboarding,v2,g_2qfyyxeeem6qqjz,6,3ik56ujgjsw9rss,Data collected/not collected,92,,KEEP,Strong form contract.
Onboarding,v2,g_2qfyyxeeem6qqjz,7,jgfy3kcult8izm2,After submission,55,C3,REWRITE_FUTURE_STATE,Manual review/status workflow not yet evidenced.
Onboarding,v2,g_2qfyyxeeem6qqjz,8,xdelcmdb36npc22,CTA,86,,KEEP,No automatic access claim.
Trust,v1,g_1yn5vvwnmsuz5hn,1,zg2u8mpudbs1jms,Hero,90,,KEEP,Evidence-led trust framing.
Trust,v1,g_1yn5vvwnmsuz5hn,2,1gxeg19tmnhrk51,Six questions,92,,KEEP,Excellent trust structure.
Trust,v1,g_1yn5vvwnmsuz5hn,3,q038hc133fik8dq,Provider role,82,C5,KEEP_WITH_EDITS,Disclose only validated providers.
Trust,v1,g_1yn5vvwnmsuz5hn,4,gcu3xfnkakr2w8p,Data and responsibility,92,,KEEP,Strong public-data and human-control limits.
Trust,v1,g_1yn5vvwnmsuz5hn,5,0x4a67ecuiq2pbt,Early access and Managed Secure,82,C7,KEEP_WITH_EDITS,Keep conditional status.
Trust,v1,g_1yn5vvwnmsuz5hn,6,pasn85q9rh9pzhh,Incident handling,45,C3,REWRITE_FUTURE_STATE,Active processes are not evidenced.
Trust,v1,g_1yn5vvwnmsuz5hn,7,750frw8kof4ufow,Audience boundaries,92,,KEEP,Strong safety rules.
Trust,v1,g_1yn5vvwnmsuz5hn,8,slu05s35e76e74a,Documents and CTA,84,C4,KEEP_WITH_EDITS,Only link approved/available documents.
Trust,v2,g_5mp3861owfb8xd9,1,7wcmzip9zbizdp0,Hero,90,,KEEP,Clear boundaries and status language.
Trust,v2,g_5mp3861owfb8xd9,2,3s46zpife1yex67,Provider roles,82,C5,KEEP_WITH_EDITS,Validate rights and delivery form.
Trust,v2,g_5mp3861owfb8xd9,3,1fonhxjfcg3q6s3,Data boundaries,92,,KEEP,Strong minimisation.
Trust,v2,g_5mp3861owfb8xd9,4,calywxz8ts7a9z3,Human control,88,,KEEP,Appropriate non-reliance warning.
Trust,v2,g_5mp3861owfb8xd9,5,v8hia1le5cp4u3f,Status vocabulary,92,,KEEP,Canonical evidence language.
Trust,v2,g_5mp3861owfb8xd9,6,nj7r8erhffn3e4b,Audience limits,92,,KEEP,Strong boundaries.
Trust,v2,g_5mp3861owfb8xd9,7,mdrg3tuz3u3y72v,Managed Secure controls,52,"C3,C7",REWRITE_FUTURE_STATE,"Architecture/logging/storage are required controls, not present facts."
Trust,v2,g_5mp3861owfb8xd9,8,pzr65qirzqku9ly,Contact and incidents,65,C3,KEEP_WITH_EDITS,Contact categories required; process claims remain conditional.
Platform Lanes,v1,g_dim2e6wjazg0m0s,1,b88zixujqlx91fa,Hero,88,,KEEP,Task-led provider selection.
Platform Lanes,v1,g_dim2e6wjazg0m0s,2,cootyz56zbpivz1,Delivery lanes,82,C5,KEEP_WITH_EDITS,Conditional routing only.
Platform Lanes,v1,g_dim2e6wjazg0m0s,3,srmf1wshqfm2m6z,OpenAI lane,70,C5,KEEP_WITH_EDITS,Validate current rights and delivery model.
Platform Lanes,v1,g_dim2e6wjazg0m0s,4,6uihnji5w41ao6s,Claude lane,72,C5,KEEP_WITH_EDITS,"Validate model class, cost and data terms."
Platform Lanes,v1,g_dim2e6wjazg0m0s,5,535w36sl534jday,Copilot and Gemini,68,C5,KEEP_WITH_EDITS,Tenant/licence/current availability required.
Platform Lanes,v1,g_dim2e6wjazg0m0s,6,pncx76aayjqn9eo,Multi-engine research,70,"C3,C5",KEEP_WITH_EDITS,No active routing claim.
Platform Lanes,v1,g_dim2e6wjazg0m0s,7,ca9l9k9wq7uczul,Selection criteria,80,,KEEP,Strong decision factors.
Platform Lanes,v1,g_dim2e6wjazg0m0s,8,bgwehhp9n369r5r,Provider-lane disclaimer,92,,KEEP,Excellent no-permanent-model principle.
Platform Lanes,v2,g_nw171vmdevl5ix2,1,fev8icdxbyrfahf,Hero,90,,KEEP,Excellent need-first framing.
Platform Lanes,v2,g_nw171vmdevl5ix2,2,jx5yc6536itf00d,Five questions,90,,KEEP,Strong selection contract.
Platform Lanes,v2,g_nw171vmdevl5ix2,3,5bgydlwvwj30x3q,Four lanes,72,C5,KEEP_WITH_EDITS,Validate current providers and capabilities.
Platform Lanes,v2,g_nw171vmdevl5ix2,4,jeg35s6v2u2mtjn,Microsoft lane,72,C5,KEEP_WITH_EDITS,Licence/admin prerequisites required.
Platform Lanes,v2,g_nw171vmdevl5ix2,5,aevcfwm53eo3jot,Google lane,68,C5,KEEP_WITH_EDITS,Validate terms and features.
Platform Lanes,v2,g_nw171vmdevl5ix2,6,01y1t9hdhy9ql8t,Assistant and research lanes,70,C5,KEEP_WITH_EDITS,Conditional provider and research claims.
Platform Lanes,v2,g_nw171vmdevl5ix2,7,xgz9mrtc1rsdt0i,Audience delivery models,62,"C2,C5",KEEP_WITH_EDITS,Student/consumer routing and rights pending.
Platform Lanes,v2,g_nw171vmdevl5ix2,8,wvhr8lw7dk21he4,No permanent engine promise,92,,KEEP,Canonical change-control principle.
